uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:rwrn63cle534w3rgonffdnu6/app.bsky.feed.post/3mc6rbsrj2d2o,bafyreihuebhoxmff5rusy255i3gt7dg2y7i6pjy34rb3rasqjljnhojyea,"BBB 26: Samira e Pedro são os escolhidos da Casa de Vidro do Sul 👉 https://o.portalaltadefinicao.com/5af 

#BBB26 #RedeBBB #MaratonaBigDay #CasadeVidro #PortalAltaDefinicao",2026-01-11T21:18:10Z,0,0,0,2026-01-12T00:18:13.737Z,portalaltadefinicao.com,Portal Alta Definição,did:plc:rwrn63cle534w3rgonffdnu6
at://did:plc:5x3xmbmh7suhiuk3erhamagu/app.bsky.feed.post/3mcakxovipc2i,bafyreihjg3db6k7vdgktdmlsscct6vf65y2hh2yc3d42afb6cymx73wj3m,"Tem gente, como o Padre Josileudo, que diz que BBB é perda de tempo. Pode ser manipulado e prefiro as edições raízes, mas não ignoro o lado social. A Samira entrou pelo cão Lindolfo e, graças à vitrine do reality, ele terá sua prótese. O entretenimento também gera bem, apesar dos julgamentos.",2026-01-12T17:30:30.701Z,0,0,0,2026-01-12T17:30:34.432Z,mfellipedc.bsky.social,Matheus Galo & SPFC,did:plc:5x3xmbmh7suhiuk3erhamagu
at://did:plc:ombefbv46lutxbuvu4mz34ja/app.bsky.feed.post/3mbzfgj3c6d2d,bafyreihk2cuvc3cpcx6wnaq5yfhjihzertuqpyuj54soffzculwdkfnqsm,"🚨CASA DE VIDRO SUL!

Samira, 25, estudante de Direito, vive em Imbituba. Autêntica e intensa, trabalha em hostel e bar. Entra no BBB para sair das dívidas, ajudar a família e dar tudo pelo prêmio.
#BBB26 #BBB #MaratonaBigDay",2026-01-09T21:02:46.000Z,0,0,0,2026-01-09T21:02:48.236Z,fifisdotelefone.bsky.social,Fifis do Telefone | #AFazenda17,did:plc:ombefbv46lutxbuvu4mz34ja
at://did:plc:mcb6n67plnrlx4lg35natk2b/app.bsky.feed.post/3mcljdf3q7x27,bafyreifqmwvssyj6352jnvp5o7hqkhkovbdewwuqqafdhjqytvklgixyna,"
Bluesky's Top 10 Trending Words (past 10min):
💨x1* - epstein 🔓
💨x54 - cif
💨x1* - democracy 🔓
💨x28 - desistir
💨x2* - gaza 🔓
💨x19 - @icegov.bsky.social
💨x18 - publi
💨x17 - botão
💨x1* - ukraine 🔓
💨x13 - frey
*🔓 = Unlocked Emergency Words (see img)

#йобанарусня 🇺🇦

(Something not right? Reply!)",2026-01-17T02:00:32.951454+00:00,0,0,2,2026-01-17T02:00:34.056Z,nowbreezing.ntw.app,☁️Now🤖Breezing💨,did:plc:mcb6n67plnrlx4lg35natk2b
at://did:plc:d4zyc5mni4ewwku522cceirq/app.bsky.feed.post/3mc632enm5k2i,bafyreicarcjxlgyyim6kyhypxwq52aaxzjypyt4by6kv373m5vadcfyggq," #BBB #BigBrother #Entretenimento #GloboeVocê Samira favorita, mas
Obs: votem muito no seu favorito pq as energias podem mudar.",2026-01-11T17:40:21.286Z,0,0,0,2026-01-11T17:40:25.537Z,novomomento.bsky.social,,did:plc:d4zyc5mni4ewwku522cceirq
at://did:plc:ombefbv46lutxbuvu4mz34ja/app.bsky.feed.post/3mcbfu2orch2d,bafyreidjdqdbsg4tv3loncxh2aoh3s4mbmmfkgkzwchscqhme6lu6wtntm,Samira quer que a bota branca vire tendência #BBB #BBB26,2026-01-13T01:31:39.000Z,0,0,1,2026-01-13T01:31:40.037Z,fifisdotelefone.bsky.social,Fifis do Telefone | #AFazenda17,did:plc:ombefbv46lutxbuvu4mz34ja
at://did:plc:ppgqbc24yvwdifkpo6kvvrlu/app.bsky.feed.post/3mcbznww22t2w,bafyreifkbzsrauou3u6p3qdssyjbevnttnbhvopqasasnsh5tutehbyfeu,"Cachorro de três patas de Samira, do 'BBB 26', ganha fãs e campanha por prótese   .",2026-01-13T07:26:09Z,0,0,0,2026-01-13T07:26:09.833Z,jornal-extra.bsky.social,Jornal Extra,did:plc:ppgqbc24yvwdifkpo6kvvrlu
at://did:plc:mcb6n67plnrlx4lg35natk2b/app.bsky.feed.post/3mcnfoojkbb2h,bafyreidmljoehyaxamqze57ycwk3dl2thyssbh3hyujnbxh3klarb6ibgi,"
Bluesky's Top 10 Trending Words (past 10min):
💨x1* - epstein 🔓
💨x1* - ukraine 🔓
💨x1* - democracy 🔓
💨x1* - gaza 🔓
💨x14 - juliano
💨x12 - mandalorian
💨x11 - zölle
💨x11 - aranceles
💨x10 - tariffs
💨x10 - floss
*🔓 = Unlocked Emergency Words (see img)

#FreePalestine 🇵🇸

(Something not right? Reply!)",2026-01-17T20:00:36.209454+00:00,0,0,1,2026-01-17T20:00:36.831Z,nowbreezing.ntw.app,☁️Now🤖Breezing💨,did:plc:mcb6n67plnrlx4lg35natk2b
at://did:plc:zwczrg456rzf533c4w26tmks/app.bsky.feed.post/3mc6ny6wkwk2o,bafyreicojkznl55eqeo3xz6jheuszahf7b27bqhh6v7lf4sjuplulrtil4,Levaram o cachorro da Samira pra casa de vidro. To aos prantos kkk juro #bbb,2026-01-11T23:19:09.275Z,1,0,0,2026-01-11T23:19:09.533Z,rafaelxum.bsky.social,,did:plc:zwczrg456rzf533c4w26tmks
at://did:plc:y545canthvu4hk5bg4jdwh2t/app.bsky.feed.post/3mclky6qwxe2a,bafyreibgg4eqspzn4y57a4zoqidnmiga5vi3a3bycrhxmdckftnlms5v5a,"Notícia da @folha.com

""BBB 26: Milena, Breno, Paulo, Samira e Maxiane estão na mira do líder Cowboy""

Link sem paywall ⬇️
",2026-01-16T23:20:05-03:00,0,0,0,2026-01-17T02:30:04.933Z,nopaywall.bsky.social,Notícias Sem Paywall,did:plc:y545canthvu4hk5bg4jdwh2t
