uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:vra7v3d427dqkuohdiagvdyr/app.bsky.feed.post/3mcofw3x2ts2k,bafyreiflc72hnrpezath27tzpca3wg5qadfuzzel2b35hru7qukrdxljsq,morrendo com jonas brigando com ana paula. puta que pariu. esse bbb é só barraco que delicia.,2026-01-18T05:37:24.915Z,0,0,12,2026-01-18T05:37:27.835Z,bttlborn.bsky.social,botle,did:plc:vra7v3d427dqkuohdiagvdyr
at://did:plc:fic2vnsvkcb3fqae6cjqulax/app.bsky.feed.post/3mckkpoq3n22j,bafyreiabmdmkmck7cawcpga55gvbxwnwprvy2qfv3yf2xsdf74eh3wbvb4,Gente entregaram muito rápido e fácil esse BBB pra Ana Paula Renault,2026-01-16T16:52:39.485Z,1,0,11,2026-01-16T16:52:41.938Z,cezarfig.bsky.social,Obrigado a conversar com gente que medita,did:plc:fic2vnsvkcb3fqae6cjqulax
at://did:plc:7f64qdulrszhatrte3vypkzy/app.bsky.feed.post/3mclyhhtsek2f,bafyreiaw4v3fh7lm3a6jcrg6dfyae5vzs2b7df5mhkdkgx3lit2s3szp5a,Ana Paula no BBB sempre vira crossover com To Catch a Predator e eu acho isso lindo,2026-01-17T06:31:15.955Z,1,0,9,2026-01-17T06:31:15.830Z,queermonster.bsky.social,"Beatrice Dorian, The Very Penetrable One 🏳️‍⚧️",did:plc:7f64qdulrszhatrte3vypkzy
at://did:plc:ub2wibwp3wsnja32pdnzylcl/app.bsky.feed.post/3mcn55qnzhc2l,bafyreibgoosahnzp4eimr5txxjgi4bmiipyvgisnmrxlczhq2x3ennlosm,"Monas eu to em choque pq a Ana paula simplesmente tá sendo A DONA desse BBB até agora, todo movimento lá dentro tá envolvido a ela…..Mamãezinha",2026-01-17T17:27:58.106Z,1,0,12,2026-01-17T17:27:58.333Z,rircardinho.bsky.social,Ricardinho,did:plc:ub2wibwp3wsnja32pdnzylcl
at://did:plc:rdkm7tyahhszzlrekmrlpgv5/app.bsky.feed.post/3mclbbgqpu22w,bafyreideplh53cjypml746xheyv44mskz4t7nwz47sn6pvj6xa3srzxy44,"Lá vai o traídor trambiqueiro querer imputar coidas na Ana Paula enquanto ela se arruma, q cara insuportável. #BBB26 #BBB",2026-01-16T23:36:17.416Z,0,0,11,2026-01-16T23:36:17.636Z,siaht.bsky.social,Labubu da Shopee,did:plc:rdkm7tyahhszzlrekmrlpgv5
at://did:plc:ki67vl6wicuiwhdfe4fvo7ay/app.bsky.feed.post/3mcpjrxnfn22y,bafyreighe4fuij6szylef4ew5gouzpb6p3p6725ajnsbmwove7p4ynp7rq,Passa bbb e vem bbb e o povo não aprende... tão jogando o enredo todinho no colo de quem passam p dia falando... nesse caso tão dando tudo p Ana Paula hahahaha,2026-01-18T16:19:20.889Z,0,0,14,2026-01-18T16:16:35.232Z,lilianbrito81.bsky.social,Lilian🇪🇪🏹,did:plc:ki67vl6wicuiwhdfe4fvo7ay
at://did:plc:rdkm7tyahhszzlrekmrlpgv5/app.bsky.feed.post/3mcibr33iok2h,bafyreiaoysjl2rhrxbscv2bpqu7qyeqtz4vnjjsf3fesmdv2brirrajt3y,"Pedro: “me desculpa”
Ana Paula: “não desculpo não”
Pedro: “ que deus abençoe”
Ana Paula : “ não enfia deus no meio”
#BBB26 #BBB",2026-01-15T19:07:02.842Z,0,3,15,2026-01-15T19:07:05.937Z,siaht.bsky.social,Labubu da Shopee,did:plc:rdkm7tyahhszzlrekmrlpgv5
at://did:plc:ombefbv46lutxbuvu4mz34ja/app.bsky.feed.post/3mcqxdqcbu424,bafyreif5qahbtpy2xzkcvx5rgtv6hsfkyczlgtmkpjp664vwf5527tb2yu,"Aline falando porque a Ana Paula ataca tanto ela?  
Kkkkk
#BBB26 #BBB #RedeBBB ",2026-01-19T05:54:35.000Z,0,1,3,2026-01-19T05:54:35.932Z,fifisdotelefone.bsky.social,Fifis do Telefone | #AFazenda17,did:plc:ombefbv46lutxbuvu4mz34ja
at://did:plc:wx7vbeyhzjh3q546ajdxjolw/app.bsky.feed.post/3mcmu2uq3bs25,bafyreidhkbxikurfyda6mnrbxlnestry3slzz5a4kfm2l6oia6imt6o5qm,"Nikolas Ferreira, Ana Paula Renault e o confronto que o BBB não esperava. Por Nathalí",2026-01-17T14:45:18.027Z,0,3,16,2026-01-17T14:45:23.131Z,dcmonline.bsky.social,Diário do Centro do Mundo,did:plc:wx7vbeyhzjh3q546ajdxjolw
at://did:plc:6e7u34r4f6kp5irrslrj254f/app.bsky.feed.post/3mclkztmtks2q,bafyreif3wui25zj5i4m4hrt24wcav5yo3pc373sfo3uv6evpn2egwvyn64,Se eu tivesse no BBB eu ia colar demais na Ana Paula. Independente de jogo. Eu sou fascinado por pessoas que farmam aura naturalmente como se não fosse nada.,2026-01-17T02:30:59.903Z,0,1,15,2026-01-17T02:31:00.531Z,mathh.space,BadMΛƬΗ,did:plc:6e7u34r4f6kp5irrslrj254f
at://did:plc:olt6nkuwdstbdmx2met4rjdl/app.bsky.feed.post/3mct3lgxu2k2r,bafyreifr3fekk5orbefvfsmjcu237nckzmpgwdaphm3e3a5o6fem6uhh4a,a ana paula serve demais puta merda #bbb,2026-01-20T02:15:48.651Z,0,0,4,2026-01-20T02:15:49.830Z,sulemio.bsky.social,myari,did:plc:olt6nkuwdstbdmx2met4rjdl
at://did:plc:it4hiz5pphsu2jnzdqlah3e2/app.bsky.feed.post/3mcnrq4czq22u,bafyreiclmpb46kmj2vtqers334ymmnu5einspz25oe3gxgnwwpmqplsmhe,"Ana Paula: ""Esse Paredão não mede nada! Eu posso sair por causa de torcida sem ser de BBB, posso sair por causa de religião e política.""  

Sarah: ""Ele (Pedro) puxou assunto em relação a isso? Ele tá mexendo numa caixa de marimbondo que não tá entendendo.""",2026-01-17T23:36:09.137Z,2,2,21,2026-01-17T23:36:11.936Z,centralbbb.bsky.social,Central BBB 26,did:plc:it4hiz5pphsu2jnzdqlah3e2
at://did:plc:3q5heqbjg4hy5zozom7ewrk2/app.bsky.feed.post/3mcqbk3hdo22y,bafyreibwkiwdok6mfgxpcaokblxys75bd6rropqvokqc7tv7cwzuwrgafe,Passada que a Ana Paula descobriu mais um assediador em outro BBB! Passada meu Deus.,2026-01-18T23:24:26.248Z,1,0,3,2026-01-18T23:24:28.229Z,firminomayara.bsky.social,may,did:plc:3q5heqbjg4hy5zozom7ewrk2
at://did:plc:wxifol6tegoaxu6tgpad252q/app.bsky.feed.post/3mcfu75qyas2o,bafyreicro2ssq4w25xlv5dtwqvrxyju5dcj4cfn7cnmv7dtrmghzr3iiw4,Ana Paula dando fora no Jonas #bbb,2026-01-14T19:59:03.544Z,0,3,17,2026-01-14T19:59:05.442Z,elisapolonio.bsky.social,Eli P.,did:plc:wxifol6tegoaxu6tgpad252q
at://did:plc:ombefbv46lutxbuvu4mz34ja/app.bsky.feed.post/3mcubrwy7qu2q,bafyreiautgpbu524sbudcw7u5x5m6g7k2qvou75ssc2i4brs4eyxzyxpxe,"A Aline é obcecada pela Ana Paula. 
#BBB26 #BBB #RedeBBB ",2026-01-20T13:39:28.000Z,1,1,4,2026-01-20T13:39:29.132Z,fifisdotelefone.bsky.social,Fifis do Telefone | #AFazenda17,did:plc:ombefbv46lutxbuvu4mz34ja
at://did:plc:zs2yk4eq2mnb5slvzctcpb67/app.bsky.feed.post/3mct3li4xkk2i,bafyreia3vi4gtwmafwgjbap6bodu5ioelehey6ejunx3do5tnczxl6o4zu,hahahahahahahahahahahahahahhaahaha ela sentiu demais a crítica da Ana Paula hahahahahahahahahahahahaaha pessoa quer ser pacífica no fuckin BBB hahahaha sai fora,2026-01-20T02:15:49.867Z,0,0,3,2026-01-20T02:15:50.229Z,mariliamoscou.bsky.social,Imperatriz Paulista da Não-Monogamia,did:plc:zs2yk4eq2mnb5slvzctcpb67
at://did:plc:fic2vnsvkcb3fqae6cjqulax/app.bsky.feed.post/3mcrvqxyfyc2j,bafyreif3vicwtqenlhe6lcyd2pvnfflf4aufsx5yeieefprisyj6rydj6u,Chaiany chegou pra ganhar o BBB. Carismática demais. Se colar com Ana Paula vai ter tapete vermelho até a final,2026-01-19T14:58:52.078Z,1,0,11,2026-01-19T14:58:53.727Z,cezarfig.bsky.social,Obrigado a conversar com gente que medita,did:plc:fic2vnsvkcb3fqae6cjqulax
at://did:plc:rovs7k35giv42zqnwan5gup7/app.bsky.feed.post/3mcfu3rwtxc2a,bafyreif24ril3wm4r7t6y74vagadgmtbcksv4bc5nmj2itz2o76ahsrut4,"Ana Paula Renault defende as cotas raciais depois da Solange Couto atacar as cotas!!! Né brinquedo não!!!

#AleReality #bbb26 #BBB",2026-01-14T19:57:10.490Z,4,6,39,2026-01-14T19:57:12.333Z,alexandrefelipe.bsky.social,☆ Alê Reality ☆,did:plc:rovs7k35giv42zqnwan5gup7
at://did:plc:ombefbv46lutxbuvu4mz34ja/app.bsky.feed.post/3mcscqio2aa2f,bafyreigg37rrrf6fiaxkrzkc77ah6painbwsghut4numre7rgvg6pic4ii,"Gente! Sarah tá querendo dizer que ontem o Pedro saiu por assédio e que Aline vai levantar o que Ana Paula falou sobre ela na época.  Parece que a Sarah tá querendo comparar as coisas. Foi isso mesmo que eu entendi??? 
#BBB26 #BBB #RedeBBB ",2026-01-19T18:51:14.000Z,1,0,7,2026-01-19T18:51:15.332Z,fifisdotelefone.bsky.social,Fifis do Telefone | #AFazenda17,did:plc:ombefbv46lutxbuvu4mz34ja
at://did:plc:5hrksfwkmpcbp65vdhr7lbmy/app.bsky.feed.post/3mcijhd5hcc2h,bafyreihbol2rl52o7ahq5oiwhuikxavwae5t2tofdvyuzjdyjohcaj6efm,"Sempre gostei da Ana Paula Renault, torci mt pela diva no 16. Sem contar que ela defendeu muito a nossa Isabelle Nogueira. Que ela vença o BBB 26!🥂
*Ana e Isa são sagitarianas🫶🏻",2026-01-15T21:24:45.683Z,0,0,17,2026-01-15T21:24:47.635Z,lartdesigner.bsky.social,Lily🏹,did:plc:5hrksfwkmpcbp65vdhr7lbmy
at://did:plc:77m7szcps5ahfhlj275enasd/app.bsky.feed.post/3mcsg7s6j3s2d,bafyreihjkouv7ag3vk4kdmj7iiesx73k2hhlspnjy5iqfbrlj6q6softry,Eu tô ansiosa pra que a Sarah converse com a Aline e instrua ela a fazer o que ela sugeriu no quarto do líder. Imagina que bonito que vai ser no ao vivo a Aline usando um crime que aconteceu dentro do BBB pra linkar isso com a Ana Paula pra passar vergonha ao vivo em rede nacional #BBB26,2026-01-19T19:53:29.171Z,0,0,9,2026-01-19T19:53:31.543Z,mulherbeliche.bsky.social,Vivian,did:plc:77m7szcps5ahfhlj275enasd
at://did:plc:r7ul7zs3an3h6yjuupdmzcsb/app.bsky.feed.post/3mct3erjqlc2i,bafyreibyqz3azf3nomzsinzgiuqhldee3ijp5n45pg6wy5gkhaxhd4r37q,Ana Paula e Aline vai ser a maior enemies to lovers da história do #bbb repare bem,2026-01-20T02:12:04.841Z,0,0,3,2026-01-20T02:12:06.559Z,ohobitinho.bsky.social,escrivitinho | 📘 QQA NA AMAZON,did:plc:r7ul7zs3an3h6yjuupdmzcsb
