uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:6twmrp3e4nzz7jqhlcxgqur7/app.bsky.feed.post/3l5pjrygahj2v,bafyreiaefifgyugdp4sapkzt52gy6cygpap3xxd3z5xwkkfcqj2dhddliq,Sou #TeamAnaPaula,2016-02-01T01:58:27.000Z,0,0,0,2016-02-01T01:58:27.000Z,ediszambom-old.bsky.social,Edis Zambom.Old,did:plc:6twmrp3e4nzz7jqhlcxgqur7
at://did:plc:xy6kwqrf5sm7bvedfe6z53rh/app.bsky.feed.post/3l3bu33snm52l,bafyreiflox5oc7q6zb6pn3n6y46ty3uhrbkadmu3v4hu5eqrn7lolx34x4,"Denise x Andressa = #TeamDenise
Lia x Maroca = #TeamMaroca
Brenda x Karol = #TeamBrenda
Nadja x Ana Paula = #TeamAnaPaula
Babi x Deolane = #TeamBabi
Nicole x Viviane = #TeamViviane",2024-09-03T22:23:34.596Z,0,0,12,2024-09-03T22:23:34.596Z,falafred.bsky.social,FRED,did:plc:xy6kwqrf5sm7bvedfe6z53rh
