uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:wrfz6gvjqduh6kwh5rzvr36i/app.bsky.feed.post/3mcbhktotns2q,bafyreier7oeuxpoqrhftszvbfyigh42qotvwve6cnygn24f42kbqm5gojq,ja sou #TeamBabu ✌️✨ #BBB26,2026-01-13T02:02:18.044Z,0,0,0,2026-01-13T02:02:18.330Z,jaquezux.bsky.social,jaque.,did:plc:wrfz6gvjqduh6kwh5rzvr36i
at://did:plc:jrtozd3urpgbzezorfpqzdza/app.bsky.feed.post/3lag4fojvp62x,bafyreigwmqwevg7iqgk72luol6na4iutpb27idqx2buwsroqrlr3c7i7lm,"motivos de identificação eu quero que ele ganhe, talvez assim como as outras pessoas se sintam sobre seus favs. os erros dele não foram esquecidos por mim, mas creio que ele seja uma pessoa capaz de reconhecê-los e não mais repetir. por isso, minha torcida.

#teambabu",2020-03-29T04:21:34Z,0,0,0,2024-11-08T06:09:17.184Z,emilysantz.bsky.social,emily santos,did:plc:jrtozd3urpgbzezorfpqzdza
at://did:plc:jjcfdyu7ydtuud7jg6ganwtw/app.bsky.feed.post/3mcbfrhgohk2p,bafyreidodijeex5otzfcwneos7ydbjs3dnt4e6magucmm2drvyclio5zkm,se o babu voltar mesmo serei #teamBabu até o fim,2026-01-13T01:30:12.591Z,0,0,0,2026-01-13T01:30:13.936Z,voltandoao405.bsky.social,concurso de sosia davi brito,did:plc:jjcfdyu7ydtuud7jg6ganwtw
at://did:plc:iprsguqsz7pzgpdckko2qu5c/app.bsky.feed.post/3mcbiht62z227,bafyreidqok6znszegzbzpj4hm23nr4qkjq3oci7h7uz7plwzlhc6ftd4xa,E mais uma vez vamos de #TeamBabu,2026-01-13T02:18:30.572Z,0,0,0,2026-01-13T02:18:29.696Z,elimafra.bsky.social,Elisa Mafra,did:plc:iprsguqsz7pzgpdckko2qu5c
at://did:plc:wptswlp3mrcsiyfln6ugricj/app.bsky.feed.post/3mcdjvode7s2h,bafyreicnvrshhap2iyv42cczrwuavmscafvgty72tiyrpu6iu3wfikssdq,"Eu 3h atrás: Esse ano não vou assistir BBB
Eu vendo que o Babu está  no BBB: Esqueça tudo o que falei. Vou ter que assistir sim e ser #TeamBabu mais um ano!",2026-01-13T21:49:28.484Z,0,0,0,2026-01-13T21:49:30.228Z,elosemh.bsky.social,Elo 🚩🇪🇪🫰🏻,did:plc:wptswlp3mrcsiyfln6ugricj
at://did:plc:hp3vqtaodyxfhcxcoyh254zu/app.bsky.feed.post/3laatbaemow2d,bafyreict337aa22mnr6272lwxamypbpuakp6bcgoeslqo4pej4nvgo33va,Já fiz as pazes imaginárias com Thelma .  Antes ela do que as outras.   #TeamBabu #teamthelminha,2020-04-13T13:53:54Z,0,0,0,2024-11-06T03:42:25.784Z,allyneaes.bsky.social,Allyne Andrade,did:plc:hp3vqtaodyxfhcxcoyh254zu
