uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:xwly7cjd34o5zuvhwsjn2ql2/app.bsky.feed.post/3mcfawukijs2x,bafyreig3ys55x4yv3sayplnj2trtpqznfcgcmbacrfq52zeixia2qowvmy,já queria registrar aqui minha anti-torcida pela milena do bbb,2026-01-14T14:14:24.363Z,1,0,5,2026-01-14T14:14:25.735Z,tr3iiis.bsky.social,teresa,did:plc:xwly7cjd34o5zuvhwsjn2ql2
at://did:plc:yuvtpwr6gtc4xdhplpoqleoe/app.bsky.feed.post/3mcqkwanu6k23,bafyreidkize5yqtvqqpiqmz2kaj2erg5t6flw7vvuyn3j3zd5hmrs5gthm,Pqp to assistindo bbb a primeira vez e quero MORRER quando vejo essa milena,2026-01-19T02:12:18.036Z,0,0,2,2026-01-19T02:12:18.031Z,rav11oli.bsky.social,Elize Matsunadegas,did:plc:yuvtpwr6gtc4xdhplpoqleoe
at://did:plc:6mc4pp477v7noqyr4zeizeat/app.bsky.feed.post/3mcge2pa5rs2z,bafyreigprgb32p2g72u2ospecchemxcppcgt3y32pot26nszlco756dl5e,apavorada,2026-01-15T00:42:53.912Z,2,0,6,2026-01-15T00:42:58.939Z,macedonna.bsky.social,noiva sphynx,did:plc:6mc4pp477v7noqyr4zeizeat
at://did:plc:355dnicmlu26vvxacklmihpl/app.bsky.feed.post/3mcli34z5442i,bafyreia74sepnotpnivozpoug6htzh4xtq62kbapfxuwfzlepgogjplba4,"enquanto a milena torrou a grana pra operar o doguinho dela pra comprar blusas lisas pq supostamente o bbb não deixa estampa e marcas, tá o pedro de peita da adidas e fodase",2026-01-17T01:38:01.985Z,0,0,4,2026-01-17T01:38:06.231Z,vtocha.bsky.social,O Meu Também é Bet,did:plc:355dnicmlu26vvxacklmihpl
at://did:plc:cxd44mhjkgcgllgbibt5fcma/app.bsky.feed.post/3mcpqbcbe4s24,bafyreictwhfpa7lcofk5iiekectzlwqazyfxbtvygcfvzvbs5sux4jkqwy,babu já passou pelo processo de adoção e agora é oficialmente pai de milena #bbb,2026-01-18T18:15:17.795Z,0,0,1,2026-01-18T18:15:18.528Z,nonada.bsky.social,nonada,did:plc:cxd44mhjkgcgllgbibt5fcma
at://did:plc:rovs7k35giv42zqnwan5gup7/app.bsky.feed.post/3mce77ztwjs2k,bafyreiapdq5dpvgpkrtg3jt4ece45yb6zkrtbq3jtuolk5pxayopy3x2o4,"Gente, imagina a Milena cuidando das criancas nas festas q ela trabalha com essa paciência... 🤣🤣🤣🤣

#AleReality #bbb26 #BBB",2026-01-14T04:11:04.684Z,3,3,13,2026-01-14T04:11:06.937Z,alexandrefelipe.bsky.social,☆ Alê Reality ☆,did:plc:rovs7k35giv42zqnwan5gup7
at://did:plc:mb2ldno2nstjoiownm2xsb5e/app.bsky.feed.post/3mcqs2nk5zs2p,bafyreihmyejjwhllgwcpndhnze6nvo6udepwzbb4gz6p6wnamvhjtkhhs4,"🚨 PAREDÃO BBB: Aline Campos, Ana Paula e Milena estão no paredão do #BBB26. Quem deve sair?",2026-01-19T04:20:01.939Z,0,0,0,2026-01-19T04:20:07.728Z,humorquecola.bsky.social,Humor Que Cola,did:plc:mb2ldno2nstjoiownm2xsb5e
at://did:plc:rdkm7tyahhszzlrekmrlpgv5/app.bsky.feed.post/3mcibwej6t22h,bafyreibh37qdzdjum2zyd3i2zhjgwpn2k5fdjrsh6xjcjyyospmsybl3za,"Tia Milena crescendo no meu coração, foi criada por crente? Foi. É confusa? É. Mas tá lá aprendendo com a Ana Paula e o Babu. #BBB26 #BBB",2026-01-15T19:10:00.501Z,0,0,7,2026-01-15T19:10:00.737Z,siaht.bsky.social,Labubu da Shopee,did:plc:rdkm7tyahhszzlrekmrlpgv5
at://did:plc:22u3xlfdxqxyzva2fsljotcy/app.bsky.feed.post/3mcfti4cjdn2b,bafyreifgrcbnjvurifza3fajcsacr5hs6kdik6ol62twrckw7yoluqloa4,"BBB 26 – Solange Couto ataca cotas raciais e leva invertida: A atriz Solange Couto voltou a causar polêmica durante uma discussão no BBB 26. Couto, que já havia espalhado fake news sobre o Bolsa Família, desta vez criticou as cotas raciais. Mas ela não estava sozinha: a sister Milena… #revistafórum",2026-01-14T19:46:09Z,7,4,17,2026-01-14T19:46:11.034Z,revistaforum.com.br,Revista Fórum,did:plc:22u3xlfdxqxyzva2fsljotcy
at://did:plc:jjcfdyu7ydtuud7jg6ganwtw/app.bsky.feed.post/3mcgn3tkri22x,bafyreih64rt4ikn2setxgs4wy2ftgpjgqdok4qqyn4fi4k3ohjojjwc4gy,"hiperfoco em ODIAR a milena do BBB. mulher escrota chamando a colega de 43 anos de “bruxa velha”

crente só pode dar nisso né",2026-01-15T03:24:35.737Z,2,0,5,2026-01-15T03:24:36.832Z,voltandoao405.bsky.social,concurso de sosia davi brito,did:plc:jjcfdyu7ydtuud7jg6ganwtw
at://did:plc:rovs7k35giv42zqnwan5gup7/app.bsky.feed.post/3mcfmeg224k2r,bafyreicuekatsmi2jgi23hlo5z2ddviks2vshgs3u727qe6l4skqrsvd4m,"Mano, eu tô rindo muito com a Milena!!! 🤣🤣🤣

#AleReality #bbb26 #BBB",2026-01-14T17:38:50.066Z,2,1,6,2026-01-14T17:38:51.337Z,alexandrefelipe.bsky.social,☆ Alê Reality ☆,did:plc:rovs7k35giv42zqnwan5gup7
at://did:plc:rovs7k35giv42zqnwan5gup7/app.bsky.feed.post/3mchmejxky227,bafyreia7b2y574iablh3bdja2evrkmth6cqq3sa7wsf4mblt3uecegikmu,"E aí??? Que nota vc dá pra Milena???

#AleReality #bbb26 #BBB",2026-01-15T12:44:13.649Z,8,1,2,2026-01-15T12:44:18.135Z,alexandrefelipe.bsky.social,☆ Alê Reality ☆,did:plc:rovs7k35giv42zqnwan5gup7
at://did:plc:rovs7k35giv42zqnwan5gup7/app.bsky.feed.post/3mce7bavkss2k,bafyreicrl5ten5h4wrtah565pxsq5yby2nqkritx74qm4qqty7mjeutej4,"Uma coisa é fato: vc gostando ou não da Milena, ela NÃO pode ser eliminada!!!

#AleReality #bbb26 #BBB",2026-01-14T04:11:45.632Z,3,1,17,2026-01-14T04:11:45.930Z,alexandrefelipe.bsky.social,☆ Alê Reality ☆,did:plc:rovs7k35giv42zqnwan5gup7
at://did:plc:jjplgukaj2mpvphcpmqoo4hb/app.bsky.feed.post/3mcgliyvifk2z,bafyreifvsccuj3xbroy7z6befybamwaunatcsp554qmqoy2w5yrmgp3qfu,achei que a milena do bbb tava indo de vanessa lopes mas pelo jeito ela é só uma crente insuportável,2026-01-15T02:56:10.053Z,0,0,5,2026-01-15T02:56:10.931Z,alumbrar.bsky.social,fancam do Maduro dançando,did:plc:jjplgukaj2mpvphcpmqoo4hb
