uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:34w2qqfauelc42s57x2mc4dt/app.bsky.feed.post/3mcqkaqqpbs24,bafyreibcq54frvxsojry6up7qz2qhjkfjd3skou4xl6targxlatdnkduk4,"Que declaração mais meia boca / chapa branca / covardona, dona Globo #BBB26",2026-01-19T02:00:16.715Z,6,8,123,2026-01-19T02:00:17.333Z,leilagermano.bsky.social,Leila Germano 🪑,did:plc:34w2qqfauelc42s57x2mc4dt
at://did:plc:34w2qqfauelc42s57x2mc4dt/app.bsky.feed.post/3mcqbh4sguc24,bafyreidhamqzlzy6ew47tvc24l75egrgr5ycjl2nfcfsk5xz5iqf42cqqu,Agora é entregar pro tribunal de pequenas causas. #BBB26,2026-01-18T23:22:46.998Z,16,7,131,2026-01-18T23:22:51.331Z,leilagermano.bsky.social,Leila Germano 🪑,did:plc:34w2qqfauelc42s57x2mc4dt
at://did:plc:34w2qqfauelc42s57x2mc4dt/app.bsky.feed.post/3mctzdnegoc2h,bafyreibj7eh3wyac44s2rv2f75eh5vec4twsjq2ozcwxuakppdx5ruyscy,"Ja temos o proximo eliminado, menines! #BBB26",2026-01-20T11:08:19.174Z,11,5,104,2026-01-20T11:08:20.731Z,leilagermano.bsky.social,Leila Germano 🪑,did:plc:34w2qqfauelc42s57x2mc4dt
at://did:plc:mmfstj3aoyjlakckupdhgntu/app.bsky.feed.post/3mcqf4kldpc2f,bafyreidvciknw3f6vqiubgxuoqo4xu7w57kyadv7i7pgqobke3c4j6f6k4,"Não tava bebado 
Não tava louco
Não foi mal entendido 
Foi, e ele verbalizou, porque deu vontade. 

É isso 
E a gente vive nesse estresse, de algum omi desse, olhar pra sua cara e ter vontade, todo santo dia. 

Inferno! #BBB26",2026-01-19T00:28:27.321Z,0,33,133,2026-01-19T00:28:27.628Z,flaviaward.bsky.social,Flavia Ward 🌼🌱,did:plc:mmfstj3aoyjlakckupdhgntu
at://did:plc:q3rjlpj5i7leyv2cef7dfwfc/app.bsky.feed.post/3mcqnk6siic2i,bafyreiaz5a7cazyqwfzuny2ceprqy7rz42ss56kdwzaphwnuzqzi74emtm,"Ela tem personalidade 
Ela tem faro pra criminoso 
Mas ela não tem memória

 #BBB26",2026-01-19T02:59:14.656Z,0,26,114,2026-01-19T02:59:22.329Z,l3l3ck4.bsky.social,L3l3ck4 ,did:plc:q3rjlpj5i7leyv2cef7dfwfc
at://did:plc:q3rjlpj5i7leyv2cef7dfwfc/app.bsky.feed.post/3mcqenbp2jc27,bafyreihf62pgko4mmahc6cuxhry5xh5s7ed2asgwjvete7fmetqg25hc34,"Maxiane: ""Em nenhum lugar a gente ta segura???? Nem com um monte de câmera?????"" 

Não, Maxiane, não estamos. E essa é uma compreensão que nos chega bem cedo e nenhum homem é capaz de assimilar. Vide o Cowboy ali já falando merda. 

#BBB26",2026-01-19T00:19:54.689Z,0,23,111,2026-01-19T00:19:55.034Z,l3l3ck4.bsky.social,L3l3ck4 ,did:plc:q3rjlpj5i7leyv2cef7dfwfc
at://did:plc:mgkqtylfno2gkkl4rtwry4js/app.bsky.feed.post/3mcqf43xh2c2i,bafyreigci4zmbnr2myftyjovm4qgkyomqaw6cadsv6wk45xgq73iz7frda,O ADM do Pedro mandando a real no twitter #BBB #BBB26,2026-01-19T00:28:11.952Z,3,31,110,2026-01-19T00:28:16.927Z,fabiruiva.bsky.social,Fabiana,did:plc:mgkqtylfno2gkkl4rtwry4js
at://did:plc:iz2am5yfixx5foyka5uoplib/app.bsky.feed.post/3mcqkuppzqc2o,bafyreiepvf7odeccbufglsqymtvirox7utdam7w2ks4ktmhv2caoh5ivtu,"- Cowboy gastou DOZE MINUTOS
- Bridigo gastou DEZESSEIS MINUTOS

e esses dois vieram dizer pra Milena que ela errou por não colocar o chinelo, vsf, viu #BBB26",2026-01-19T02:11:26.732Z,3,29,113,2026-01-19T02:11:27.035Z,willgpb.bsky.social,Will G,did:plc:iz2am5yfixx5foyka5uoplib
at://did:plc:34w2qqfauelc42s57x2mc4dt/app.bsky.feed.post/3mct5spslas2o,bafyreiemx6v5cqyenybcxut3kbd2gbpxspf2bxm42vvslqinr4wpscfssm,VAI CHAIANY MARAVILHOSA MACETA A INSUPORTAVEL DA SARA #BBB26,2026-01-20T02:55:40.280Z,0,1,83,2026-01-20T02:55:41.133Z,leilagermano.bsky.social,Leila Germano 🪑,did:plc:34w2qqfauelc42s57x2mc4dt
at://did:plc:mhp3sv5ov4xg7o3jkptgfdp7/app.bsky.feed.post/3mcqk4wq22s2d,bafyreiapeb3rfgcne64vsfkzqsizzwypdfntac3ovkjfbntymymm3wvucu,HOMEM SEBOSO DO CARALHO #BBB26,2026-01-19T01:58:08.767Z,0,12,108,2026-01-19T01:58:09.229Z,alinelks.bsky.social,Aline de Assis,did:plc:mhp3sv5ov4xg7o3jkptgfdp7
at://did:plc:jqs453ktxco5ho5z46wardhp/app.bsky.feed.post/3mcrqxsii722r,bafyreiesfdehl6lbvgvjdcjy3jklxuchqvthczvyurh3pk27chvzoebchu,"O ex-participante Pedro está sendo investigado pela Polícia Civil do Rio de Janeiro sobre o caso de importunação sexual no #BBB26, e será chamado para depor, informa o Metrópoles.",2026-01-19T13:33:12.483Z,1,4,87,2026-01-19T13:33:19.435Z,tracklist.com.br,Tracklist,did:plc:jqs453ktxco5ho5z46wardhp
at://did:plc:ucclnld2eaazrimbo7m7cpde/app.bsky.feed.post/3mct4elcvhs2i,bafyreiekndvi4navhdtugzxsqsp4ccihf2k4tz74f7ov374ducbtgcoywq,O maior Brit fã do Brasil kkkkkkkkk #bbb26,2026-01-20T02:29:52.066Z,2,40,114,2026-01-20T02:29:53.930Z,alinecaettano.bsky.social,Queria ser a Mulan,did:plc:ucclnld2eaazrimbo7m7cpde
at://did:plc:34w2qqfauelc42s57x2mc4dt/app.bsky.feed.post/3mcs5zybfm22w,bafyreibrek34l722xb5lkawu5aqrdbaon5peaiku6ew5yfcmsna55edeae,Ana orgulhosa da filha #BBB26,2026-01-19T17:27:04.292Z,2,3,79,2026-01-19T17:27:07.140Z,leilagermano.bsky.social,Leila Germano 🪑,did:plc:34w2qqfauelc42s57x2mc4dt
at://did:plc:34w2qqfauelc42s57x2mc4dt/app.bsky.feed.post/3mct3syvodk2d,bafyreiczxz2xvncvapdnln7evhtc6ywa7t27vpyv5mzyi2nbzqlxogrkmm,"Tadeu:

“Mae da Milena, como é ver sua filha no sincerao?”

Mae da Milena:

🫤🫥🤨🙁

#BBB26",2026-01-20T02:20:02.335Z,4,3,77,2026-01-20T02:20:06.645Z,leilagermano.bsky.social,Leila Germano 🪑,did:plc:34w2qqfauelc42s57x2mc4dt
at://did:plc:34w2qqfauelc42s57x2mc4dt/app.bsky.feed.post/3mct75ey3rk2h,bafyreia327cmcc6m4jcexepqwsma4uevl7ddwdcavbvlgfatc7urmlwdsa,"“Se eu sou falsa, eu aprendi com você” (Chaiany grandona para Sara falsona) - #BBB26",2026-01-20T03:19:31.764Z,1,6,105,2026-01-20T03:19:32.031Z,leilagermano.bsky.social,Leila Germano 🪑,did:plc:34w2qqfauelc42s57x2mc4dt
at://did:plc:homau5nssbq5ywqfopqqbefz/app.bsky.feed.post/3mcqcp4zdc223,bafyreihuz2reqwmuak35hkp22ugxtbwljl5vvbszpi23twpbkujyif2kxi,A Vanessa Lopes teve um colapso mental e não assediou ninguém #BBB26,2026-01-18T23:45:09.408Z,0,35,97,2026-01-18T23:45:13.229Z,pinkpalaceceh.bsky.social,Pink Palace está tão LN1 WDC,did:plc:homau5nssbq5ywqfopqqbefz
at://did:plc:34w2qqfauelc42s57x2mc4dt/app.bsky.feed.post/3mcqak5k66224,bafyreigv3z23l7emm2gsd7rvhgd4xeljmevknvsytgmgjcgpd2mz2d7anq,ALEM DE ASSEDIADOR É ARREGAO #BBB26,2026-01-18T23:06:34.705Z,3,12,98,2026-01-18T23:06:34.931Z,leilagermano.bsky.social,Leila Germano 🪑,did:plc:34w2qqfauelc42s57x2mc4dt
at://did:plc:it4hiz5pphsu2jnzdqlah3e2/app.bsky.feed.post/3mcqfh5owok2u,bafyreiegjact6tqht5rmmxinahpwkobumpjf2wqfvv6lc46odgkmiwzvr4,🚨AGORA: Delegado Bruno Lima anuncia que vai denunciar Pedro ao Ministério Público após relato de Jordana sobre assédio no #BBB26.,2026-01-19T00:34:22.886Z,1,6,92,2026-01-19T00:34:26.931Z,centralbbb.bsky.social,Central BBB 26,did:plc:it4hiz5pphsu2jnzdqlah3e2
at://did:plc:mhp3sv5ov4xg7o3jkptgfdp7/app.bsky.feed.post/3mco65hrwh22g,bafyreibgppryvp5s37ad2z6todnexss33xr2e66fotrswe3ha3xbficyzm,"Mano que coisa absurda.. A mina desmaiou no quarto branco, a produção deixou eles lá parados sem falar oq fazer.. Recolheram a mina igual em Round 6 e só depois falaram ""ela ta bem, vcs entraram no progrma"".. OW VSF NA MORAL

#bbb26",2026-01-18T03:18:22.276Z,1,14,150,2026-01-18T03:18:23.333Z,alinelks.bsky.social,Aline de Assis,did:plc:mhp3sv5ov4xg7o3jkptgfdp7
at://did:plc:gb3yxp6zrf7pskjmqjblxmtv/app.bsky.feed.post/3mcnxpepwp22x,bafyreifv6upi4c5weahjnvrt3smbki5ohib76pvwkg22quj7huisvsgcre,"Segundo Perline (o fofoqueiro oficial da Globo) a direção do BBB está desesperada pra eliminar o Pedro. Os patrocinadores não querem as marcas associadas a ele. 

Aparentemente eles vão começar a mostrar na edição as contradições e loucuras dele. 

Vamos acompanhar #BBB26",2026-01-18T01:23:06.850Z,4,19,155,2026-01-18T01:23:07.142Z,kikicomenta.bsky.social,Kiki,did:plc:gb3yxp6zrf7pskjmqjblxmtv
at://did:plc:untiqslmx7iujajcsevwgtef/app.bsky.feed.post/3mct5rrgvis2l,bafyreidhstpy2uahrlwjwzphtjzz3x7p5sxvstnse3gjue34l5swnqwkeq,"Mds Chayane vai comer o juizo da Sarah! 

OBRIGADO JESUS!!! #BBB26 #RedeBBB",2026-01-20T02:55:08.440Z,0,5,66,2026-01-20T02:55:09.138Z,glaudemias.bsky.social,Glaudemias 🪶,did:plc:untiqslmx7iujajcsevwgtef
at://did:plc:nxerh2cxiaqk5berhiruxcrs/app.bsky.feed.post/3mcqd7o3c3c2w,bafyreiaakaflv4rexdlgtreu5t5g4pgnyh3h2occk4yv4grkpwxcq7hilm,"toda vez que alguma mulher diz que tava se sentindo protegida na casa (a mina do boi acabou de dizer “eu achava que tava num espaço seguro”), a globo corta a câmera

francamente, dona globo, segura seus BOs #bbb26",2026-01-18T23:54:24.170Z,1,29,100,2026-01-18T23:54:24.733Z,priscilajolie.bsky.social,Pri Jolie,did:plc:nxerh2cxiaqk5berhiruxcrs
at://did:plc:gpunjjgvlyb4racypz3yfiq4/app.bsky.feed.post/3mcms6enckc2u,bafyreidfljn6xbm5dppzc5zd6hp3cmnqsv73mvx76vjxo2ok5ucuwc6m74,"oi ana paula. bom dia. que bonito esse seu ovo frito. falando nisso, o que você acha do conflito Israel-Palestina? #BBB26",2026-01-17T14:11:27.894Z,0,30,244,2026-01-17T14:11:30.130Z,jnascim.info,Jeff Nascimento,did:plc:gpunjjgvlyb4racypz3yfiq4
at://did:plc:untiqslmx7iujajcsevwgtef/app.bsky.feed.post/3mct4j275xs2l,bafyreifai2h3jbzcox4x2miprhwyduw3lwnbegcegud7jqnzmt5eberfpu,CHAYANE: GALINHA QUE ACOMPANHA PATO ACBAA MORRENDO AFOGADO !!!!! #BBB26 #RedeBBB,2026-01-20T02:32:21.875Z,3,12,76,2026-01-20T02:32:24.931Z,glaudemias.bsky.social,Glaudemias 🪶,did:plc:untiqslmx7iujajcsevwgtef
at://did:plc:2i24wpyolqidbm3jww7ijknj/app.bsky.feed.post/3mcqbhf3hdc2x,bafyreig75gsiwsvxgzc2hzf4mcalek4feyytvyo6gnxduh7mcqst6k2jzy,os caras descobrindo agora que até quando uma mulher é assediada ela se sente culpada pois é bando de homem é isso que essa sociedade de merda faz com as mulheres #bbb26,2026-01-18T23:22:55.689Z,2,6,92,2026-01-18T23:22:57.231Z,pfmirand.bsky.social,pat,did:plc:2i24wpyolqidbm3jww7ijknj
