uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:42g7pq4lpvj3zpxxkt3you6y/app.bsky.feed.post/3mchok2blbc2b,bafyreieapwjvybdpvqf4m7rwtp6luobwwfoebx6romonolvii3w7jnq5bm,"""Cara, Lula é uma causa, não um homem. Eu acho que ele está no coração dos necessitados, dls carentes, ali onde residem as desigualdades. Isso é o melhor de Lula"". 
- EDILSON CAPETINHA NO BBB",2026-01-15T13:23:06.014Z,0,0,0,2026-01-15T13:23:07.829Z,dualitylutas.bsky.social,Duality Lutas,did:plc:42g7pq4lpvj3zpxxkt3you6y
at://did:plc:mcb6n67plnrlx4lg35natk2b/app.bsky.feed.post/3mcbj5hsaom2e,bafyreidbzhlmdmtwbasqyw3onclofcmnyfdizkirm6wz6wmreznlggyboa,"
Bluesky's Top 10 Trending Words (past 10min):
💨x77 - stroud
💨x69 - bbb
💨x55 - babu
💨x1* - epstein 🔓
💨x42 - rodgers
💨x39 - milhões
💨x33 - texans
💨x33 - edição
💨x32 - cj
💨x25 - quarto
*🔓 = Unlocked Emergency Words (see img)

#ListenToBlackVoices

(Something not right? Reply!)",2026-01-13T02:30:37.084491+00:00,0,0,0,2026-01-13T02:30:37.443Z,nowbreezing.ntw.app,☁️Now🤖Breezing💨,did:plc:mcb6n67plnrlx4lg35natk2b
at://did:plc:dychd3vbxto7xlujyqwrpfen/app.bsky.feed.post/3mcbgvkvisc2a,bafyreihwqexmziin7bq6d2rnmj3hanwveap3xr47gd2llpzogb6zmjfmbm,O Edílson Capetinha tá no BBB?!,2026-01-13T01:50:24.182Z,1,0,0,2026-01-13T01:51:14.731Z,phollanda.bsky.social,Pedro Hollanda,did:plc:dychd3vbxto7xlujyqwrpfen
at://did:plc:ppgqbc24yvwdifkpo6kvvrlu/app.bsky.feed.post/3mcnecxigns2q,bafyreiefho3o6bkjhvtxachtwdfewgqpcrx3wh27wxio5ucrhywauikqlq,"Edilson Capetinha, do 'BBB 26', rebate dívida de R$ 2 milhões em pensão: 'Dificuldade financeira superada', diz advogado   .",2026-01-17T19:36:09Z,0,0,1,2026-01-17T19:36:16.140Z,jornal-extra.bsky.social,Jornal Extra,did:plc:ppgqbc24yvwdifkpo6kvvrlu
at://did:plc:iwb2fxm5a66qp3bx7zxim7d4/app.bsky.feed.post/3mcnvtqka3k2m,bafyreiez3hw243fvb7v2w7whtqyyfwsjrtashce5foyswa6nbfvwiwgpoa,inferno vei,2026-01-18T00:49:45.981Z,1,0,0,2026-01-18T00:49:48.637Z,didionneta.bsky.social,líder de torcida do j fonsy,did:plc:iwb2fxm5a66qp3bx7zxim7d4
at://did:plc:wytbfs34a2re5ricvkirmwan/app.bsky.feed.post/3mcbgsyzps222,bafyreibdulit4mf3xtq66fzn5tpewtac4zwn46qn6xx6mhxqhrg5i32fcy,Edilson capetinha no bbb,2026-01-13T01:48:58.337Z,0,0,0,2026-01-13T01:48:58.637Z,daemondrivers.bsky.social,julio,did:plc:wytbfs34a2re5ricvkirmwan
at://did:plc:mcb6n67plnrlx4lg35natk2b/app.bsky.feed.post/3mcbgvvbpla2e,bafyreibfovjuw32xnmtnr2erhhprlkszxyqr7o7fyu63q6yrnoibkziet4,"
Bluesky's Top 10 Trending Words (past 10min):
💨x61 - juliano
💨x1* - epstein 🔓
💨x57 - floss
💨x50 - brigido
💨x49 - sena
💨x48 - solange
💨x48 - jura
💨x48 - edilson
💨x43 - flea
💨x36 - jordana
*🔓 = Unlocked Emergency Words (see img)

#йобанарусня 🇺🇦

(Something not right? Reply!)",2026-01-13T01:50:35.274710+00:00,0,0,0,2026-01-13T01:50:35.737Z,nowbreezing.ntw.app,☁️Now🤖Breezing💨,did:plc:mcb6n67plnrlx4lg35natk2b
at://did:plc:2ruar6rgum65burg5jwthixl/app.bsky.feed.post/3mccdcgdgf52v,bafyreidhpacrslkullgbzucl3tnjr25sarylnhtjufehj34xlvujgxan2i,"No BBB, Edilson Capetinha menospreza Flamengo e exalta Corinthians",2026-01-13T10:18:40.244Z,0,0,1,2026-01-13T10:18:40.832Z,cnn-brasil.bsky.social,CNN Brasil,did:plc:2ruar6rgum65burg5jwthixl
at://did:plc:k43ha6nlknmdw4owymqnvcat/app.bsky.feed.post/3mcgpahmqz42e,bafyreicbgcdhsnsrvtfqdy3duwyjep7nw23znyaaljvr6rfhr7t4gk4t5m,"
Bluesky's Top 10 Trending Words (past 60min):
💨x1* - epstein 🔓
💨x1* - democracy 🔓
💨x143 - ボトムズ
💨x142 - 押井
💨x1* - ukraine 🔓
💨x89 - votoms
💨x1* - gaza 🔓
💨x46 - verizon
💨x43 - oshii
💨x42 - mjf
*🔓 = Unlocked Emergency Words (see img)

#йобанарусня 🇺🇦

(Something not right? Reply!)",2026-01-15T04:02:58.662752+00:00,0,0,0,2026-01-15T04:02:59.336Z,hourlybreezing.ntw.app,☁️Hourly🤖Breezing💨,did:plc:k43ha6nlknmdw4owymqnvcat
at://did:plc:mcb6n67plnrlx4lg35natk2b/app.bsky.feed.post/3mcizgit7ah2n,bafyreidufv2cpij6byha644uoni266j7s3jybzlmzhebpsqc7m3hzjkoyq,"
Bluesky's Top 10 Trending Words (past 10min):
💨x1* - epstein 🔓
💨x1* - democracy 🔓
💨x38 - nobel
💨x30 - amc
💨x27 - fone
💨x25 - machado
💨x25 - aline
💨x23 - 山手
💨x21 - medal
💨x20 - edilson
*🔓 = Unlocked Emergency Words (see img)

#ListenToBlackVoices

(Something not right? Reply!)",2026-01-16T02:10:39.052156+00:00,0,0,1,2026-01-16T02:10:38.534Z,nowbreezing.ntw.app,☁️Now🤖Breezing💨,did:plc:mcb6n67plnrlx4lg35natk2b
